;score10_6;score10_8;score35;dist35_10;scorephage;fe;freqAT;host;size10;size35_6;size35_7;size35_9;size35_14;sizephage_23;sizephage_21;sizephage_32;TG;Podo;Sipho;Myo;tp;Bacillus;EColi;Klebsiella;Pectobacterium;Cronobacter;output
KP025626:247258;-2,301083467;-0,514846907;0,327212722;-0,73906981;-0,135371914;-1,13595846;-1,132611964;0;1;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0
EU056923:267477;-1,722381477;-1,61647499;0,231657402;0,754629174;0,212915815;-1,986297029;-1,888526512;0;1;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0
AY543070:P033;1,849511427;0,31185479;0,514784364;0,381204428;0,129742628;1,56966426;1,639074711;1;1;1;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;1
NC_004679:PR3;0,2020104;0,95206794;0,497088865;-0,73906981;-0,245465922;1,226215825;1,261117437;1;1;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1
EU056923:P3;-0,097031834;-0,103418618;-0,762825751;1,12805392;3,847014541;-0,925030321;-1,006626206;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
NC_019401:208202;0,650573651;-0,451402351;-1,12711007;-1,485919302;-0,129282726;0,648648199;0,505202889;1;1;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0
NC_001978:109001;-1,290431665;-1,449212022;0,305585985;0,007779682;-0,191253901;-2,292198046;-2,01451227;1;1;0;1;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0
NC_000866:P67;0,650573651;2,359383396;0,912563391;0,007779682;0,156706693;1,50119544;1,387103195;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;1
KU574722:Porf_491;0,343224698;0,367609083;1,941036167;0,381204428;0,027138812;0,455389434;0,505202889;1;1;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;1
NC_004913:88406;0,343224698;0,890545921;-1,565661615;0,007779682;-0,419980154;-0,158621273;0,127245616;1;0;0;0;0;1;0;1;0;0;1;0;0;1;0;1;0;0;0;0
NC_000866:PuvsY;1,849511427;0,461814625;1,662619982;-1,112494556;-0,225038111;0,784481503;0,883160163;1;1;0;0;1;0;1;0;0;1;0;0;1;0;0;1;0;0;0;1
NC_002371:Pant;1,187742044;0,723283044;1,941036167;0,381204428;-0,835310506;0,476371814;0,127245616;1;1;1;0;0;0;0;0;1;0;1;0;0;1;0;1;0;0;0;1
NC_002166:20535;-2,453373524;-0,44563467;0,738278266;-1,859344048;-0,061295792;-0,220464078;-0,376697416;1;1;0;0;1;0;0;1;0;0;0;1;0;1;0;1;0;0;0;0
NC_019401:214363;-0,62866238;0,421440815;-0,570277723;-1,859344048;0,352984924;-0,631276997;-0,502683174;0;1;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0
NC_027375:252678;-1,315351856;-1,624165231;-0,960278971;0,007779682;0,199920017;-1,652787616;-1,762540754;0;1;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0
NC_000866:59634;1,431406081;1,121253422;-0,026695811;-0,365645064;-0,055238999;1,136764625;1,135131679;1;1;1;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0
NC_004831:49337;0,705951782;-0,230307713;-0,851863323;-1,112494556;0,289487504;-0,037144335;-0,1247259;1;1;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0
NC_019401:217607;-0,094262928;0,95206794;-0,745679939;-1,112494556;-0,048848204;0,491832515;0,631188647;1;0;0;0;1;0;1;0;0;1;0;0;1;0;0;0;0;0;1;0
NC_013649:126333;-1,824831151;-0,022671009;0,029929514;-0,73906981;-0,225038111;-1,001229492;-0,880640448;1;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0
NC_005045:93786;-1,913436225;-1,799118349;-0,968412858;-1,485919302;0,809423548;-1,320382539;-1,510569238;0;1;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0
NC_004665:91501;0,301691166;-0,920507503;-0,20365012;1,874903412;-0,861837732;-1,25964407;-1,258597722;1;1;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0
NC_004665:phi1;0,060796035;0,425285935;-1,537885644;0,381204428;1,715604416;-0,393844799;-0,250711658;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1
NC_004679:PL1;1,298498436;0,411828014;-0,030150413;-1,859344048;-0,703288868;1,581811954;1,639074711;1;1;0;0;1;0;0;1;0;1;1;0;0;0;0;0;0;0;0;1
NC_002371:45619;-1,816524431;-1,243497941;-0,076243055;-0,365645064;-0,014510873;-0,59372958;-0,502683174;0;1;1;0;0;0;0;1;0;0;1;0;0;1;0;1;0;0;0;0
EU236438:P1;-1,15752402;-0,286062011;0,05824226;0,007779682;2,833054214;-1,516954312;-1,636554996;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
NC_011048:B1;0,705951782;-0,647503676;-0,384143512;-0,73906981;-0,260786784;0,729264713;0,757174405;1;1;1;0;0;0;1;0;0;1;1;0;0;0;1;0;0;0;0;1
