;score10_6;score10_8;score35;dist35_10;scorephage;fe;freqAT;host;size10;size35_6;sizephage_23;sizephage_21;TG;Podo;Myo;tp;EColi;Pectobacterium;Cronobacter;output
NC_004167:7378;-1,243146398;0,666818566;0,636746204;0,017383613;-0,85710764;-0,159900546;-0,182735489;1;0;1;0;1;0;0;0;1;0;0;0;0
NC_005856:38595;-1,271511378;-0,224520066;-0,233190648;0,017383613;-0,909360471;0,482035566;0,330206234;1;1;0;1;0;0;0;1;1;1;0;0;0
AY543070:281488;-1,382134772;-0,596403089;1,366353521;-1,11787275;0,315249545;0,568905655;0,330206234;1;1;0;0;1;0;0;0;0;1;0;0;0
KU574722:172543;0,796295158;0,85177627;-0,011828477;-0,739453962;-0,380927993;0,931052389;0,971383387;1;1;1;0;1;0;0;1;0;0;1;0;0
NC_001609:47944;-1,620400526;0,259518129;0,690037298;0,395802401;-0,546772299;-0,042569517;-0,054500058;1;1;0;1;0;0;0;1;1;1;0;0;0
NC_000866:58104;-0,159604422;0,163104034;0,054128296;0,395802401;0,442616763;0,143580674;0,201970803;1;1;1;0;1;0;0;1;0;1;0;0;0
NC_004914:117391;-0,224843834;-1,956038816;-0,832623564;-0,361035175;0,374591095;-0,819887585;-0,823912642;1;1;1;0;1;0;1;0;1;1;0;0;0
NC_005045:94065;-0,732576864;-0,560985646;0,351895603;0,395802401;-0,124463662;-0,643891041;-0,823912642;1;1;0;1;0;0;1;0;0;0;0;0;0
NC_011976:PR';0,861534603;0,800617808;1,714039773;0,395802401;-0,415956149;1,049511601;1,099618818;1;1;1;1;0;0;1;0;1;0;0;0;1
NC_019401:203228;0,739565265;1,019025228;-0,601774949;-0,739453962;0,600712776;0,873515058;0,843147957;1;1;1;1;0;0;0;1;0;0;0;1;0
NC_000866:P9(a);0,56370246;2,662000457;1,050808052;0,017383613;-0,078962397;0,777619505;0,586677095;1;0;1;1;0;0;0;1;0;1;0;0;1
KU574722:181125;0,725382724;0,47005511;-0,493804235;0,017383613;-0,775479671;0,791157701;0,843147957;1;1;0;0;0;0;0;1;0;0;1;0;0
NC_000866:59043;0,297071692;-0,147782302;0,317955298;0,395802401;-0,671846225;0,806952262;1,099618818;1;1;1;0;1;0;0;1;0;1;0;0;0
EU438902:P7;1,967768738;0,973769619;-1,517840891;1,152639976;-0,689480844;0,047685121;0,073735373;1;1;1;0;0;1;1;0;0;0;0;0;1
NC_019401:227456;-1,104158024;0,800617808;1,02882249;-0,739453962;0,077883415;0,238348044;0,330206234;1;1;1;0;1;0;0;1;0;0;0;1;0
NC_028816:134613;-0,224843834;-0,08875325;-0,601774949;-0,739453962;-0,686119929;-0,015493125;-0,182735489;1;1;1;1;0;0;1;0;0;0;0;0;0
NC_000866:P8.1;0,77927619;1,050507452;1,826336935;0,395802401;-0,013299925;0,696390331;0,714912526;1;1;0;0;1;1;0;1;0;1;0;0;1
NC_019401:209433;-0,253208814;0,444475832;1,442884163;-0,361035175;-0,058167916;0,639981182;0,843147957;1;1;1;0;1;0;0;1;0;0;0;1;0
AY543070:273585;0,061642432;-0,05727109;0,82362374;0,774221188;-0,949738313;0,284603546;0,073735373;1;1;1;0;1;0;0;0;0;1;0;0;0
NC_013649:129450;-0,933968175;0,592048459;-0,440547366;-0,361035175;-0,186982476;-0,766862985;-0,823912642;1;0;1;0;1;0;1;0;0;0;0;0;0
KU574722:155339;0,810477699;1,215788731;-1,19172141;-0,361035175;-0,157414106;0,505727408;0,330206234;1;0;1;0;0;0;0;1;0;0;1;0;0
NC_001825:PL9;0,135391361;1,209885878;0,390834389;0,395802401;-0,536818873;1,779445985;1,997266833;1;1;0;1;0;0;1;0;0;0;0;0;1
NC_019401:Porf454;1,167876432;-0,05727109;2,084130498;0,395802401;-1,010527215;0,598238412;0,586677095;1;1;1;0;1;1;0;1;0;0;0;1;1
EU438902:291926;0,725382724;1,526675144;-0,209698706;1,531058763;-0,687767144;1,347351906;1,356089679;1;0;1;0;1;0;1;0;0;0;0;0;0
